annee;coordonnees;dep;depcom;libcom;naissances;reg
"2010";"47.9616184488, 7.54628533058";"68";"68130";"Heiteren";"9";"42";"NaN"
"2007";"45.8555126651, 5.94075287432";"74";"74225";"Rumilly";"199";"82";"NaN"
"2008";"48.7733620104, 2.48799310463";"94";"94011";"Bonneuil-sur-Marne";"303";"11";"NaN"
"2007";"49.5766905204, -1.64595103605";"50";"50230";"Hardinvast";"10";"25";"NaN"
"2005";"46.3972479854, 5.06297763777";"01";"01364";"Saint-Jean-sur-Reyssouze";"9";"82";"NaN"
"2008";"47.9627627539, 1.70271671519";"45";"45152";"Gémigny";"4";"24";"NaN"
"2005";"49.0430008047, 1.79368235837";"78";"78536";"Sailly";"5";"11";"NaN"
"2011";"44.6300356626, 1.656114201439999";"46";"46054";"Caniac-du-Causse";"3";"73";"NaN"
"2003";"47.7656859341, 6.30499154261";"70";"70213";"Éhuns";"2";"43";"NaN"
"2012";"45.6322671317, 4.59660370042";"69";"69180";"Saint-André-la-Côte";"6";"82";"NaN"
"2005";"47.8914794989, 1.7735811346300001";"45";"45067";"Chaingy";"35";"24";"NaN"
"2011";"48.5051745323, 6.01397377452";"54";"54235";"Goviller";"4";"41";"NaN"
"2006";"49.2986310738, 4.93353443761";"08";"08131";"Cornay";"1";"21";"NaN"
"2009";"47.7656148991, 5.78234601722";"70";"70423";"Preigney";"2";"43";"NaN"
"2011";"48.8332483875, 2.04229462765";"78";"78518";"Rennemoulin";"1";"11";"NaN"
"2008";"50.0944816863, 1.588622910879999";"80";"80597";"Nibas";"10";"22";"NaN"
"2013";"46.4828315658, -0.599450293173";"79";"79101";"Coulonges-sur-l'Autize";"19";"54";"NaN"
"2009";"49.4065310007, 4.311982139579999";"08";"08314";"Neuflize";"6";"21";"NaN"
"2007";"46.2272985258, 0.0665477663208";"79";"79205";"Pers";"0";"54";"NaN"
"2011";"46.5942298159, 5.67721332871";"39";"39326";"Mesnois";"1";"43";"NaN"
"2003";"50.2094536408, 3.15541640096";"59";"59294";"Haynecourt";"5";"31";"NaN"
"2013";"50.7949144222, 2.27990645597";"59";"59433";"Nieurlet";"12";"31";"NaN"
"2013";"49.8554489068, 3.15363305662";"02";"02029";"Attilly";"4";"22";"NaN"
"2008";"48.1133336245, 6.51405793958";"88";"88011";"Arches";"17";"41";"NaN"
"2006";"46.2020674785, 0.853464651387";"87";"87136";"Saint-Barbant";"3";"74";"NaN"
"2003";"45.4076896858, 5.03351016146";"38";"38324";"Primarette";"8";"82";"NaN"
"2003";"47.916936377, 1.82353479018";"45";"45169";"Ingré";"71";"24";"NaN"
"2006";"46.3999686416, 0.663328917773";"86";"86153";"Mazerolles";"15";"54";"NaN"
"2004";"46.7100754692, 4.87819266492";"71";"71555";"Varennes-le-Grand";"17";"26";"NaN"
"2004";"46.9252807285, 0.374730280796";"86";"86217";"Saint-Christophe";"6";"54";"NaN"
"2004";"50.1830406458, 4.02228377235";"59";"59175";"Dimont";"6";"31";"NaN"
"2004";"50.2043374368, 3.35238504979";"59";"59502";"Rieux-en-Cambrésis";"13";"31";"NaN"
"2004";"44.0448344934, 6.44538846702";"04";"04099";"Lambruisse";"0";"93";"NaN"
"2004";"49.0900262096, 2.40710033598";"95";"95214";"Épinay-Champlâtreux";"0";"11";"NaN"
"2005";"44.4870907058, 1.17069333497";"46";"46147";"Lagardelle";"3";"73";"NaN"
"2009";"49.5158815481, 2.7484137141";"60";"60386";"Marquéglise";"5";"22";"NaN"
"2008";"46.8818371328, -2.01607828912";"85";"85273";"Saint-Urbain";"34";"52";"NaN"
"2012";"49.0441683455, 2.12861303743";"95";"95572";"Saint-Ouen-l'Aumône";"468";"11";"NaN"
"2007";"47.3218215365, 5.91157630752";"25";"25536";"Sauvagney";"1";"43";"NaN"
"2007";"43.2464550515, 6.52192234084";"83";"83042";"Cogolin";"155";"93";"NaN"
"2005";"46.8482451972, 5.507416249";"39";"39575";"Le Villey";"1";"43";"NaN"
"2010";"43.3565898582, -0.284966466044";"64";"64370";"Maucor";"5";"72";"NaN"
"2008";"50.0413268784, 1.428617578009999";"76";"76255";"Eu";"85";"23";"NaN"
"2005";"46.7496326396, 6.00775677762";"39";"39165";"Conte";"1";"43";"NaN"
"2010";"43.3960752682, -0.432656657053999";"64";"64549";"Uzein";"12";"72";"NaN"
"2006";"43.8612350805, 4.65739524122";"13";"13061";"Saint-Pierre-de-Mézoargues";"2";"93";"NaN"
"2009";"44.879045176700004, 0.024938758337700002";"24";"24466";"Saint-Michel-de-Montaigne";"5";"72";"NaN"
"2007";"43.3934944571, 5.3808040555";"13";"13106";"Septèmes-les-Vallons";"138";"93";"NaN"
"2012";"42.7483532712, 2.8456847121";"66";"66138";"Peyrestortes";"13";"91";"NaN"
"2013";"50.3253821605, 3.60666630753";"59";"59166";"Curgies";"14";"31";"NaN"
"2006";"50.2986246557, 3.68344256708";"59";"59640";"Wargnies-le-Petit";"12";"31";"NaN"
"2006";"44.5476858944, 2.32505415911";"12";"12100";"Firmi";"20";"73";"NaN"
"2008";"49.0358954042, 2.84316991013";"77";"77205";"Gesvres-le-Chapitre";"1";"11";"NaN"
"2005";"49.4965544546, 1.34755871373";"76";"76554";"Saint-Aignan-sur-Ry";"4";"23";"NaN"
"2010";"49.3794043122, -0.951377407958999";"14";"14239";"Englesqueville-la-Percée";"0";"25";"NaN"
"2003";"49.6991905153, 1.98093616856";"60";"60194";"Dargies";"2";"22";"NaN"
"2007";"49.8372754134, 1.18137897384";"76";"76582";"Saint-Germain-d'Étables";"7";"23";"NaN"
"2011";"49.5581716513, 0.652697455698";"76";"76585";"Saint-Gilles-de-Crétot";"9";"23";"NaN"
"2013";"50.2447242764, 3.29498867507";"59";"59219";"Estrun";"10";"31";"NaN"
"2010";"49.847513728, 1.12124254365";"76";"76030";"Aubermesnil-Beaumais";"4";"23";"NaN"
"2009";"49.0732578587, -0.860019640387999";"14";"14350";"La Lande-sur-Drôme";"2";"25";"NaN"
"2012";"50.4093268684, 3.32433906396";"59";"59642";"Warlaing";"9";"31";"NaN"
"2013";"43.5621026684, 3.27145529278";"34";"34168";"Montesquieu";"0";"91";"NaN"
"2004";"14.7694146135, -61.1206407775";"972";"97218";"Le Morne-Rouge";"73";"02";"NaN"
"2008";"43.6896523672, 3.809695774729999";"34";"34255";"Saint-Gély-du-Fesc";"67";"91";"NaN"
"2004";"49.6175135557, 0.761699633531";"76";"76758";"Yvetot";"130";"23";"NaN"
"2012";"44.7607755904, 0.0336581808427";"33";"33247";"Listrac-de-Durèze";"2";"72";"NaN"
"2005";"48.6022245541, 3.42081185296";"77";"77026";"Beauchery-Saint-Martin";"6";"11";"NaN"
"2009";"43.3817686884, 2.91141941594";"34";"34339";"Villespassans";"2";"91";"NaN"
"2010";"48.7047767033, 3.34596512996";"77";"77066";"Cerneux";"4";"11";"NaN"
"2003";"47.1433950802, 1.77650851914";"36";"36147";"Orville";"2";"24";"NaN"
"2013";"46.9451858636, -1.1916392484";"85";"85025";"La Boissière-de-Montaigu";"27";"52";"NaN"
"2003";"48.1830495916, -1.8929319831";"35";"35227";"Pleumeleuc";"28";"53";"NaN"
"2013";"49.5016042328, 0.923668432121";"76";"76636";"Saint-Pierre-de-Varengeville";"28";"23";"NaN"
"2008";"49.6236633392, 0.990120224832";"76";"76370";"Hugleville-en-Caux";"5";"23";"NaN"
"2003";"48.1470755546, 5.47884380766";"52";"52489";"Thol-lès-Millières";"0";"21";"NaN"
"2009";"45.9209843347, 3.33844645964";"63";"63210";"Maringues";"35";"83";"NaN"
"2013";"49.5787455388, 0.211169186328";"76";"76534";"Rolleville";"6";"23";"NaN"
"2011";"49.5726933909, 0.630520111377";"76";"76559";"Saint-Aubin-de-Crétot";"9";"23";"NaN"
"2004";"49.4330992435, 1.01355208279";"76";"76157";"Canteleu";"222";"23";"NaN"
"2011";"45.7949000316, 2.62744439303";"63";"63292";"Puy-Saint-Gulmier";"1";"83";"NaN"
"2013";"42.6043043945, 3.0052419925";"66";"66094";"Latour-Bas-Elne";"21";"91";"NaN"
"2013";"42.6739429511, 2.30444228005";"66";"66119";"Mosset";"4";"91";"NaN"
"2011";"43.2154362655, -0.13411881653899901";"64";"64097";"Barzun";"9";"72";"NaN"
"2005";"43.5121931243, -0.244633052278";"64";"64534";"Taron-Sadirac-Viellenave";"2";"72";"NaN"
"2012";"43.3497136026, -1.69722838309";"64";"64545";"Urrugne";"96";"72";"NaN"
"2007";"48.5825386976, 7.40408500338";"67";"67018";"Balbronn";"6";"42";"NaN"
"2007";"49.0032908553, 1.86919580679";"78";"78403";"Mézy-sur-Seine";"24";"11";"NaN"
"2009";"49.2260820687, 0.696761680662";"27";"27028";"Authou";"5";"23";"NaN"
"2011";"42.9660849304, -0.154640259389999";"65";"65428";"Sireix";"0";"73";"NaN"
"2006";"48.9218797672, 7.48346810796";"67";"67265";"Lichtenberg";"7";"42";"NaN"
"2013";"45.0745744027, 0.907034401577";"24";"24421";"Saint-Geyrac";"1";"72";"NaN"
"2009";"45.4780382344, -0.157746079718";"16";"16028";"Barbezieux-Saint-Hilaire";"39";"54";"NaN"
"2004";"48.5125214509, 7.3121237174200004";"67";"67306";"Muhlbach-sur-Bruche";"6";"42";"NaN"
"2010";"44.6594105975, 5.20902825087";"26";"26080";"Chastel-Arnaud";"0";"82";"NaN"
"2013";"43.7292469184, 3.9239639392";"34";"34118";"Guzargues";"4";"91";"NaN"
"2009";"43.5964619142, 3.08445405222";"34";"34126";"Lamalou-les-Bains";"22";"91";"NaN"
"2005";"47.8158272648, 1.11151070429";"41";"41138";"Meslay";"2";"24";"NaN"
"2012";"47.5237437505, 6.84347198387";"25";"25614";"Vieux-Charmont";"34";"43";"NaN"
